iata,icao
07,ORG
0B,BMS
0J,PJZ
0Q,HYD
0V,VFC
1A,AGT
1S,SBG
1Z,APD
2B,AWT
2C,CMA
2D,DYA
2G,HUA
2J,VBW
2K,GLG
2L,OAW
2M,MYD
2N,NTJ
2P,GAP
2Q,SNC
2S,STW
2U,ERO
2W,WFL
2Y,MYU
2Z,PTB
3F,FIE
3G,CXM
3H,AIE
3K,JSA
3L,HFM
3M,SIL
3N,URG
3O,MAC
3P,TNM
3R,RGR
3S,BOX
3T,TRQ
3U,CSC
3V,TAY
3W,MWI
3X,JAC
3Y,KAE
3Z,TVP
4A,DYN
4C,ARE
4D,ASD
4E,SBO
4G,GZP
4H,UBD
4J,FDK
4L,PNA
4M,DSM
4N,ANT
4O,MNE
4Q,SFW
4S,RSX
4T,BHP
4U,GWI
4X,MLH
4Y,OCN
4Z,LNK
5A,AIP
5B,BSX
5C,ICL
5D,SLI
5E,SGN
5F,FIA
5H,FFV
5J,CEB
5K,HFY
5N,AUL
5O,FPO
5P,LLX
5R,RUC
5T,MPE
5U,TGU
5V,VTS
5X,UPS
5Y,GTI
5Z,KEM
6A,AMW
6B,BLX
6D,TVQ
6E,IGO
6F,PRW
6H,ISR
6G,SEU
6J,SNJ
6K,SGB
6L,SUH
6M,MXM
6N,NIN
6O,XLF
6Q,SAW
6V,MRW
6W,WCG
6Y,ART
6Z,EAK
7A,XRC
7D,MSU
7E,AWU
7G,SFJ
7H,RVF
7I,INC
7J,TJK
7K,KGL
7L,AZG
7M,MYI
7N,PWD
7P,PST
7Q,MNU
7R,RLU
7S,RYA
7T,RTM
7V,FDR
7W,WRC
7Y,MYP
7Z,AJI
8B,TNU
8C,ATN
8D,EXV
8G,MFG
8H,BGH
8I,NLU
8J,ECO
8K,KMI
8L,LKE
8M,MMA
8N,REG
8P,PCO
8Q,OHY
8R,OLS
8U,AAW
8Y,AAV
9A,EZX
9E,EDV
9J,DAN
9L,TOW
9P,JAD
9Q,CXE
9S,SOO
9T,RUN
9U,MLD
9V,ROI
9W,JAI
A0,EFW
A2,AWG
A3,AEE
A6,HTU
A7,CFV
A9,TGZ
AA,AAL
AB,BER
AC,ACA
AD,AZU
AE,MDA
AF,AFR
AH,DAH
AI,AIC
AJ,AZY
AK,AXM
AL,ALD
AM,AMX
AN,WSN
AP,LAV
AQ,JYH
AR,ARG
AS,ASA
AT,RAM
AU,AUT
AV,AVA
AX,LOF
AY,FIN
AZ,ITY
B0,DJT
B2,BRU
B3,BTN
B4,BYD
B5,BBT
B6,JBU
B7,UIA
B8,ERT
B9,IRB
BA,BAW
BB,SBS
BC,SKY
BD,BYC
BE,BEE
BF,FBU
BG,BBC
BH,BML
BI,RBA
BJ,LBT
BK,OKA
BL,PIC
BO,BBD
BP,BOT
BR,EVA
BS,UBG
BT,BTI
BU,FPY
BV,BPA
BW,BWA
BX,ABL
BY,TOM
BZ,BDA
C3,TDR
C5,UCA
C6,MFX
C9,BIC
CA,CCA
CB,ABB
CC,ABD
CD,CND
CE,CLG
CF,CYZ
CG,TOK
CH,BMJ
CI,CAL
CJ,CFE
CK,CKK
CL,CLH
CM,CMP
CN,GDC
CO,FCB
CP,LSI
CR,XCR
CS,CSW
CT,CYL
CU,CUB
CV,CLX
CW,CCC
CX,CPA
CY,CYP
CZ,CSN
D0,DHK
D2,SSF
D3,DAO
D4,GEL
D5,DAE
D7,XAX
D8,NSZ
DD,NOK
DE,CFG
DG,SRQ
DH,NAN
DI,MBU
DJ,SRR
DK,VKG
DL,DAL
DO,DAV
DP,PBD
DR,RLH
DS,EZS
DT,DTA
DV,VSV
DX,DTR
DY,NOZ
E2,EWE
E3,VGO
E4,ENT
E5,RBG
E6,BCT
E8,GTA
E9,EVE
EA,EAL
EB,PLM
EC,EJU
ED,AXE
EE,EST
EF,EZA
EH,AKX
EI,EIN
EJ,NEA
EK,UAE
EL,ELB
EM,CFS
EN,DLA
EO,ALX
EP,IRC
EQ,TAE
ER,SEP
ES,DHX
ET,ETH
EU,UEA
EV,ASQ
EW,EWG
EY,ETD
F2,XLK
F3,FAD
F4,SHQ
F5,ATG
F6,VAW
F7,DWT
F8,FLE
F9,FFT
FA,SFR
FB,LZB
FC,VVC
FD,AIQ
FE,FEA
FG,AFG
FH,FHY
FI,ICE
FJ,FJI
FL,LIL
FM,CSH
FN,FTZ
FO,FXX
FP,FRE
FR,RYR
FS,AYN
FT,FEG
FU,FZA
FV,SDM
FW,IBX
